GBR_ID,GBR_NAME,X_COORD,Y_COORD
18010,Goold Reef,146.15882874,-18.16708183
18011,Garden Reef,146.14523315,-18.18221283
18013,Eva Reef,146.32363892,-18.23547363
18014,Hinchinbrook Reef,146.31582642,-18.35866356
18015,Agnes Reef,146.32815552,-18.35521507
16015,Mackay Reef,145.64700317,-16.04948044
16017,Sylvan Reef,145.72079468,-16.07977295
16019,St Crispin Reef,145.83328247,-16.10412598
14118,Eyrie Reef,145.3792572,-14.71065998
14119A,Turtle Reef (North),145.16590881,-14.71613312
14119B,Turtle Reef (South),145.16101074,-14.72149372
14120A,Turtle Group Reef (No 1),145.1870575,-14.73452568
15033,Lark Reef,145.5735321,-15.28826046
15038,Ribbon No 5 Reef,145.78292847,-15.36378002
13107,Pelican Island Reef,143.84161377,-13.91487694
13108,Hedge Reef,143.95117188,-13.90026379
14051,South Warden Reef,144.73968506,-14.23914433
14052,Unison Reef,144.68772888,-14.29763222
14054,Stapleton Reef,144.85919189,-14.32140255
14120B,Turtle Group Reef (No 2),145.1991272,-14.73466969
14120C,Turtle Group Reef (No 3),145.17935181,-14.72984409
14120D,Turtle Group Reef (No 4),145.19801331,-14.72135258
14120E,Turtle Group Reef (No 5),145.20419312,-14.70484257
14120F,Turtle Group Reef (No 6),145.19319153,-14.71372223
14120G,Turtle Group Reef (No 7),145.18951416,-14.72822189
15039,Williamson Reefs,145.58148193,-15.35902119
13111,Burkitt Reef,143.75439453,-13.94378567
13113,Iris Reef,143.84162903,-13.96045017
13114,Obree Reef,143.68238831,-13.97581577
14055,Munro Reef,144.74142456,-14.31907654
14057A,Davy Patches (No 1),144.71818542,-14.32648373
14057B,Davy Patches (No 2),144.70785522,-14.33612728
14057C,Davy Patches (No 3),144.72001648,-14.34114552
14060,Barrow Reef,144.65068054,-14.34283352
14120H,Turtle Group Reef (No 8),145.18469238,-14.71768856
14120J,Turtle Group Reef (No 9),145.20838928,-14.74336147
14121,Crompton Shoals,145.27624512,-14.71804142
14122A,Pethebridge Islets Reef (East),145.10093689,-14.73142147
14122B,Pethebridge Islets Reef (West),145.08262634,-14.7362051
14123,Martin Reef,145.35552979,-14.76314163
15046,Ribbon No 4 Reef,145.8008728,-15.43488216
15050,Ribbon No 3 Reef,145.80554199,-15.48834705
13118A,Creech Reef (North),144.10391235,-13.62558937
13118B,Creech Reef (South),144.10731506,-13.64566326
14061,Switzer Reef,144.75698853,-14.36003113
14063,Combe Reef,144.9510498,-14.41412067
14125,Maxwell Reef,145.31558228,-14.78671837
14126,Linnet Reef,145.34443665,-14.78665161
14128,Sim Reef,145.28337097,-14.81706524
15051,Dawson Reef,145.32821655,-15.50472927
15052,Cowlishaw Reef,145.35255432,-15.53471947
15053,Draper Patch,145.30262756,-15.54612827
15054,Rocky Island Reef,145.32945251,-15.60156059
15056,Malcolm Patch,145.44831848,-15.62467194
15057,Bee Reef,145.42962646,-15.64048386
13120,Sand Bank No 5 Reef,144.23735046,-13.73683643
14064,Ingram-Beanley Reef,144.88970947,-14.42552853
14065,Bewick Reef,144.81156921,-14.43275642
14131,Decapolis Reef,145.27287292,-14.85046291
14132A,Rocky Islets Reef,145.47993469,-14.85496998
14134,Eye Reef,145.47799683,-14.89468002
13045,Lowrie Reef,143.5960083,-13.27562618
13048,Bow Reef,143.67321777,-13.30812263
14066,Mid Reef,144.95834351,-14.45742226
14068,Watson Reef,144.89328003,-14.46287346
14069,Wooden Patch,144.75350952,-14.47551155
14070,Baron Reef,144.69804382,-14.47436333
14135,Helsdon Reef,145.48800659,-14.93945408
14137,Carter Reef,145.58898926,-14.54767418
14138,Yonge Reef,145.62347412,-14.59968185
14139,No Name Reef,145.64628601,-14.64376545
13053,Treat Reef,143.60075378,-13.32652664
13127,Rodda Reef,144.35662842,-13.92119122
13128,Joan Reef,144.34959412,-13.94645691
13129,Wilson Reef,144.40107727,-13.95244312
13130,Davie Reef,144.45483398,-13.97737408
13131,Eves Reef,144.5743866,-13.96196938
14071A,Weigall Reefs (East),144.64302063,-14.47416687
14071B,Weigall Reefs (West),144.63766479,-14.47897816
14072,Megaera Reef,144.95802307,-14.4773941
14143,North Direction Reef,145.51068115,-14.74591541
14144,Kedge Reef,145.53094482,-14.78259373
13055,Peter Reef,143.78071594,-13.33258152
13056,Sand Bank No 8 Reef,143.96214294,-13.36719513
13057A,Sharland Reefs (No 1),143.59918213,-13.36875439
13057B,Sharland Reefs (No 2),143.59742737,-13.38262463
13133,Tydeman Reef,144.52000427,-13.98367882
14002,Beabey Patches,143.82217407,-14.01346874
14079,Jewell Reef,145.35128784,-14.37976837
14146,Ribbon No 10 Reef,145.69813538,-14.82720089
14147A,South Direction Reef (North),145.52357483,-14.82437229
14147B,South Direction Reef (South),145.52072144,-14.81170082
13059,Ellis Reef,143.70544434,-13.38013554
13060,Blanchard Reef,143.75065613,-13.41682148
14003,Grub Reef,143.98217773,-14.00527954
14004,Keast Shoal,143.93527222,-14.05226326
14005,Cameron Shoal,143.93186951,-14.05947208
14006,Fahey Reef,143.8589325,-14.06368637
14007,Taiwan Shoal,143.92588806,-14.06640339
